player;round;unité;att/def;couleur;critique;touche;adrenaline;block;miss;statJoueur;statGeneral;statValue
b;4;snipe;att;b;0;0;0;0;1;;;
b;4;snipe;att;b;0;0;0;0;1;;;
r;4;speeder;def;r;0;0;0;1;0;1;0,5;0,666666667
r;4;speeder;att;r;0;1;0;0;0;4;3,875;0,507936508
r;4;speeder;att;b;0;1;0;0;0;;;
r;4;speeder;att;b;0;1;0;0;0;;;
r;4;speeder;att;b;0;1;0;0;0;;;
r;4;speeder;att;w;0;0;0;0;1;;;
r;4;speeder;att;w;0;0;0;0;1;;;
r;4;speeder;att;w;0;0;0;0;1;;;
b;4;storm;def;r;0;0;1;0;0;1;1;0,5
b;4;storm;def;r;0;0;0;1;0;;;
b;4;mortar;att;w;0;1;0;0;0;1;1,875;0,347826087
b;4;mortar;att;w;0;0;0;0;1;;;
b;4;mortar;att;w;0;0;0;0;1;;;
b;4;mortar;att;w;0;0;0;0;1;;;
b;4;mortar;att;w;0;0;0;0;1;;;
b;4;snipe;att;b;0;1;0;0;0;2;1;0,666666667
b;4;snipe;att;b;0;1;0;0;0;;;
r;4;speeder;att;r;1;0;0;0;0;1;2,5;0,285714286
r;4;speeder;att;b;0;0;0;0;1;;;
r;4;speeder;att;b;0;0;0;0;1;;;
r;4;speeder;att;w;0;0;0;0;1;;;
b;4;dew;def;r;0;0;0;0;1;0;0,5;0
b;4;shore;att;b;0;1;0;0;0;2;1;0,666666667
b;4;shore;att;b;0;1;0;0;0;;;
b;4;dew;att;r;1;0;0;0;0;6;5;0,545454545
b;4;dew;att;r;0;1;0;0;0;;;
b;4;dew;att;r;0;1;0;0;0;;;
b;4;dew;att;r;0;1;0;0;0;;;
b;4;dew;att;w;1;0;0;0;0;;;
b;4;dew;att;w;0;0;0;0;1;;;
b;4;dew;att;w;0;0;0;0;1;;;
b;4;dew;att;w;0;1;0;0;0;;;
b;4;dew;att;w;0;0;0;0;1;;;
r;4;yoda;def;r;0;0;0;0;1;1;2;0,333333333
r;4;yoda;def;r;0;0;0;0;1;;;
r;4;yoda;def;r;0;0;0;1;0;;;
b;4;veers;att;w;0;0;0;0;1;1;2,25;0,307692308
b;4;veers;att;w;0;0;0;0;1;;;
b;4;veers;att;w;0;0;0;0;1;;;
b;4;veers;att;w;0;0;0;0;1;;;
b;4;veers;att;w;0;0;0;0;1;;;
b;4;veers;att;w;1;0;0;0;0;;;
r;5;yoda;att;r;0;0;1;0;0;4;3,5;0,533333333
r;5;yoda;att;r;0;0;1;0;0;;;
r;5;yoda;att;r;0;1;0;0;0;;;
r;5;yoda;att;r;0;1;0;0;0;;;
b;5;garde;def;r;0;0;0;0;1;2;2;0,5
b;5;garde;def;r;0;0;0;0;1;;;
b;5;garde;def;r;0;0;0;1;0;;;
b;5;garde;def;r;0;0;0;1;0;;;
b;5;snipe;att;b;0;1;0;0;0;2;1;0,666666667
b;5;snipe;att;b;0;1;0;0;0;;;
r;5;phase1;att;b;0;1;0;0;0;5;3;0,625
r;5;phase1;att;b;0;1;0;0;0;;;
r;5;phase1;att;b;0;0;0;0;1;;;
r;5;phase1;att;w;0;0;0;0;1;;;
r;5;phase1;att;w;0;0;0;0;1;;;
r;5;phase1;att;w;0;0;0;0;1;;;
r;5;phase1;att;w;1;0;0;0;0;;;
r;5;phase1;att;w;1;0;0;0;0;;;
r;5;phase1;att;w;1;0;0;0;0;;;
b;5;shore;def;r;0;0;1;0;0;1;2;0,333333333
b;5;shore;def;r;0;0;0;1;0;;;
b;5;shore;def;r;0;0;0;0;1;;;
b;5;shore;def;r;0;0;0;0;1;;;
r;5;speeder;att;r;0;1;0;0;0;2;2,5;0,444444444
r;5;speeder;att;b;0;1;0;0;0;;;
r;5;speeder;att;b;0;0;0;0;1;;;
r;5;speeder;att;w;0;0;0;0;1;;;
b;5;snipe;def;w;0;0;0;1;0;1;0,666;0,600240096
b;5;snipe;def;w;0;0;0;0;1;;;
b;5;veers;att;w;1;0;0;0;0;3;1,125;0,727272727
b;5;veers;att;w;1;0;0;0;0;;;
b;5;veers;att;w;0;1;0;0;0;;;
r;5;speeder;def;r;0;0;0;1;0;3;1,5;0,666666667
r;5;speeder;def;r;0;0;0;1;0;;;
r;5;speeder;def;r;0;0;0;1;0;;;
r;5;phase1;att;r;0;1;0;0;0;1;2,25;0,307692308
